案件編號,標題,地址,房型,坪數,樓層,租金,押金,捷運站,聯絡人,截圖檔名,頁碼,座標,執行日期,緯度,經度
20377386,可租補✿台電✿華中橋✿捷運中和站✿樓下就有7-11,中和區景平路,2房,16.0,4F/5F,19333,,中和站 268公尺,仲介:麥先生,591_20377386.png,11,"25°0'17""N 121°29'47""E",2026-01-06,25.004722222222224,121.49638888888889
20328333,全新裝潢/可貓/邊間靜巷2陽台3面採光/家具齊/包網路第四台,中和區員山路327巷55號,3房,26.0,5F/5F,22900,,員山站 219公尺,屋主:陳女士,591_20328333.png,11,"25°0'8""N 121°28'45""E",2026-01-06,25.002222222222223,121.47916666666667
20336440,"中和環球購物~大空間2陽台,傢俱家電齊全",中和區民治街132巷,3房,35.0,5F/5F,28800,,民享里[新巴士]站 119公尺,代理人:黃太太,591_20336440.png,11,"25°0'8""N 121°28'30""E",2026-01-06,25.002222222222223,121.47500000000001
20228766,捷運永安市場站.明亮採光兩房一廳.可貓,中和區南工路2巷,2房,18.0,4F/4F,25888,,南山高中站 24公尺,代理人:曾小姐,591_20228766.png,11,"25°0'0""N 121°30'20""E",2026-01-06,25.0,121.50555555555556
20384322,♥︎可租補♥︎景平捷運站♥︎台電♥︎大空間兩房♥︎,中和區大勇街29巷,2房,20.0,4F/5F,22979,,智光商職站 177公尺,仲介:許小姐,591_20384322.png,11,"24°59'40""N 121°30'55""E",2026-01-06,24.994444444444447,121.51527777777778
20412030,♥︎可租補♥︎景平捷運站♥︎台電♥︎大空間一房一廳♥︎大套房,中和區大勇街29巷,1房,15.0,4F/5F,21979,,智光商職站 177公尺,仲介:許小姐,591_20412030.png,11,"24°59'40""N 121°30'55""E",2026-01-06,24.994444444444447,121.51527777777778
20354126,近永平學區巷弄安靜超商便利,近永平學區巷弄安靜超商便利,3房,29.0,5F/5F,21000,,保順里[新巴士]站 84公尺,屋主:黃先生,591_20354126.png,11,"25°0'26""N 121°30'5""E",2026-01-06,25.00722222222222,121.50138888888888
20433383,宜安路邊間美妝三房(家具家電可談~可租補),中和區宜安路,3房,31.0,4F/5F,31000,,潭墘站 121公尺,代理人:陳小姐,591_20433383.png,11,"24°59'54""N 121°30'47""E",2026-01-06,24.998333333333335,121.51305555555555
20296971,可租補♥︎台電♥︎民樂停車場♥︎遠東世紀♥︎,中和區新生街177巷,2房,20.0,4F/4F,20951,,平河里站 54公尺,屋主:賴先生,591_20296971.png,11,"25°0'3""N 121°29'4""E",2026-01-06,25.000833333333333,121.48444444444445
20456069,可租補♥︎橋和捷運站♥︎遠東世紀♥︎兩房機車族首選♥︎,中和區中正路839巷2號,2房,20.0,5F/5F,19910,,中原站 483公尺,仲介:許小姐,591_20456069.png,11,"25°0'15""N 121°29'3""E",2026-01-06,25.004166666666666,121.48416666666667
20403493,中和圓通書香學區近公園美寓,中和區圓通路393巷19弄4號,3房,26.0,4F/5F,20000,,中和站 97公尺,屋主:何女士,591_20403493.png,11,"24°59'22""N 121°29'25""E",2026-01-06,24.989444444444445,121.49027777777778
20401113,捷運站旁整層住家3樓,中和區景平路64巷,3房,22.6,3F/4F,32000,,秀朗橋站 313公尺,屋主:王先生,591_20401113.png,11,"24°59'29""N 121°31'20""E",2026-01-06,24.99138888888889,121.52222222222223
20352568,"租補~前後,陽台~採光佳,台水台電",中和區員山路150巷,2房,30.0,5F/5F,22800,,,代理人:黃太太,591_20352568.png,11,"0°0'0""N 0°0'0""E",2026-01-06,,
20435411,捷運起站有座位+大窗採光通風好+綠意靜巷+生活機能超便利,中和區景新街496巷,2房,13.0,4F/5F,19000,,三介廟站 178公尺,代理人:李小姐,591_20435411.png,11,"24°59'12""N 121°30'52""E",2026-01-06,24.986666666666668,121.51444444444445
20371121,可租補✿台電✿捷運中原站✿遠東世紀廣場✿,中和區民樂路80巷,2房,20.0,5F/5F,18985,,平河里站 84公尺,屋主:賴先生,591_20371121.png,11,"25°0'4""N 121°29'3""E",2026-01-06,25.00111111111111,121.48416666666667
20390223,小家庭.方正三房💘夫妻首選租金可優惠.全新整修,中和區中山路二段,3房,25.41,4F/5F,22000,,中和站 313公尺,屋主:林先生,591_20390223.png,11,"25°0'8""N 121°29'56""E",2026-01-06,25.002222222222223,121.49888888888889
20346918,"優雅二房一衛一廳一陽台,採光,通風良好",中和區秀朗路三段128巷17弄5號,2房,18.0,5F/5F,12000,,,屋主:陳小姐,591_20346918.png,11,"0°0'0""N 0°0'0""E",2026-01-06,,
20365903,⭐可租補免服務費⭐舒適溫馨三房公寓，空氣清新、鬧中取靜,中和區景新街467巷,3房,25.0,3F/5F,28500,,三介廟站 124公尺,代理人:張先生,591_20365903.png,11,"24°59'19""N 121°30'52""E",2026-01-06,24.988611111111112,121.51444444444445
20026359,景新國小旁，景平站騎車2分鐘，全室冷氣，可租補,中和區景新街423巷,3房,19.54,4F/4F,21000,,三介廟站 98公尺,代理人:許先生,591_20026359.png,11,"24°59'21""N 121°30'48""E",2026-01-06,24.989166666666666,121.51333333333334
20372170,景安、鳳凰城社區4房採光通風家具齊有平車採光機能強,中和區圓通路369巷,4房,48.13,5F/5F,30000,,清和社[新巴士]站 731公尺,仲介:江先生,591_20372170.png,11,"24°58'57""N 121°29'25""E",2026-01-06,24.982499999999998,121.49027777777778
20285167,中和站捷運走路5分鐘，低樓層三房一廳,中和區中山路二段236號,3房,30.0,3F/4F,23000,,,屋主:李女士,591_20285167.png,11,"0°0'0""N 0°0'0""E",2026-01-06,,
20295909,大勇街溫馨機能屋,中和區大勇街,3房,20.0,4F/4F,25000,,,代理人:楊女士（免仲介費）,591_20295909.png,11,"0°0'0""N 0°0'0""E",2026-01-06,,
20327603,⭐社會住宅(可租補)⭐積穗員山商圈溫馨三房(友善寵物貓),中和區新生街16巷,3房,35.85,5F/5F,26000,,中原站 450公尺,仲介:范小姐,591_20327603.png,11,"25°0'17""N 121°28'57""E",2026-01-06,25.004722222222224,121.4825
20356093,(社會住宅)🍎超大空間🍎採光大3房🍎可租補免服務貴,中和區秀朗路三段128巷,3房,40.46,4F/4F,28000,,秀朗橋站 374公尺,仲介:周小姐,591_20356093.png,11,"24°59'34""N 121°31'21""E",2026-01-06,24.99277777777778,121.5225
20365150,社會住宅-中和路公寓2房,中和區中和路12號,2房,16.0,3F/5F,21000,,,仲介:陳先生,591_20365150.png,11,"0°0'0""N 0°0'0""E",2026-01-06,,
